# Reproduction of Dipanjan rtp_tl_2.nb line cut
# gamma=0.01 epsilon=0.15 L=30 time=50.0 y=4
# x P(x,y,t)
0 4.3338969435146869e-04
2 4.5761863788985359e-04
4 5.0318634806012519e-04
6 5.6861986968718113e-04
8 6.5157707066352069e-04
10 7.4900271782429514e-04
12 8.5728794788406581e-04
14 9.7237616955738522e-04
16 1.0897911115288397e-03
18 1.2046148360590619e-03
20 1.3114943845550782e-03
22 1.4047784857584571e-03
24 1.4788608565602171e-03
26 1.5287345681290695e-03
28 1.5506673064301947e-03
30 1.5428300868472722e-03
32 1.5056896061063842e-03
34 1.4420237832655830e-03
36 1.3565278611833837e-03
38 1.2551053756582858e-03
40 1.1440351167283536e-03
42 1.0292339134699859e-03
44 9.1578560426776128e-04
46 8.0780117154636926e-04
48 7.0855799655337721e-04
50 6.2078345811981137e-04
52 5.4692690325466268e-04
54 4.8930280376455095e-04
56 4.5006099141341454e-04
58 4.3101292196368469e-04
