# TCRW Fig 3(a) exact: P_edge/P_bulk vs D_r (ω=1, OBC)
# Generated by tcrw_fig3_exact_dump.py — exact authors-Python data
# columns: L   D_r   ratio   P_edge_norm   P_bulk_norm   n_edge   n_bulk
 19    2.15443e-01    1.95831e+00    4.14167e-03    2.11492e-03        76         324
 19    3.16228e-01    1.56902e+00    3.53984e-03    2.25609e-03        76         324
 19    4.64159e-01    1.30380e+00    3.08162e-03    2.36357e-03        76         324
 19    6.81292e-01    1.12311e+00    2.74359e-03    2.44286e-03        76         324
 19    1.00000e+00    5.13449e-01    1.41437e-03    2.75465e-03        76         324

 49    1.00000e-04    2.55177e+03    5.07865e-03    1.99025e-06       196        2304
 49    1.46780e-04    1.73873e+03    5.06778e-03    2.91464e-06       196        2304
 49    2.15443e-04    1.18482e+03    5.05192e-03    4.26386e-06       196        2304
 49    3.16228e-04    8.07448e+02    5.02883e-03    6.22805e-06       196        2304
 49    4.64159e-04    5.50346e+02    4.99534e-03    9.07674e-06       196        2304
 49    6.81292e-04    3.75183e+02    4.94704e-03    1.31857e-05       196        2304
 49    1.00000e-03    2.55847e+02    4.87792e-03    1.90658e-05       196        2304
 49    1.46780e-03    1.74544e+02    4.78011e-03    2.73863e-05       196        2304
 49    2.15443e-03    1.19153e+02    4.64389e-03    3.89743e-05       196        2304
 49    3.16228e-03    8.14152e+01    4.45833e-03    5.47603e-05       196        2304
 49    4.64159e-03    5.57050e+01    4.21300e-03    7.56305e-05       196        2304
 49    6.81292e-03    3.81888e+01    3.90119e-03    1.02156e-04       196        2304
 49    1.00000e-02    2.62551e+01    3.52417e-03    1.34228e-04       196        2304
 49    1.46780e-02    1.81248e+01    3.09484e-03    1.70752e-04       196        2304
 49    2.15443e-02    1.25857e+01    2.63807e-03    2.09609e-04       196        2304
 49    3.16228e-02    8.81193e+00    2.18597e-03    2.48069e-04       196        2304
 49    4.64159e-02    6.24090e+00    1.76936e-03    2.83510e-04       196        2304
 49    6.81292e-02    4.48928e+00    1.41000e-03    3.14080e-04       196        2304
 49    1.00000e-01    3.29592e+00    1.11726e-03    3.38983e-04       196        2304
 49    1.46780e-01    2.48289e+00    8.89718e-04    3.58340e-04       196        2304
 49    2.15443e-01    1.92898e+00    7.19209e-04    3.72845e-04       196        2304
 49    3.16228e-01    1.55160e+00    5.94913e-04    3.83419e-04       196        2304
 49    4.64159e-01    1.29450e+00    5.06114e-04    3.90973e-04       196        2304
 49    6.81292e-01    1.11934e+00    4.43584e-04    3.96292e-04       196        2304
 49    1.00000e+00    8.13063e-01    3.30062e-04    4.05950e-04       196        2304

