# TCRW Fig 3(g) exact: |J_Dr|/|J_om| at left wall vs ω (D_r=1e-3, OBC)
# Generated by tcrw_fig3_exact_dump.py — exact authors-Python data
# columns: L   ω   ratio   |J_Dr|_wall   |J_om|_wall   Jx_w_Dr  Jy_w_Dr  Jx_w_om  Jy_w_om
 49   0.1000    6.24919e-01    1.86538e-04    2.98499e-04   +4.99500e-06   +1.86471e-04   +2.33089e-04   -1.86471e-04
 49   0.1500    5.73731e-01    1.63239e-04    2.84521e-04   +4.99500e-06   +1.63162e-04   +2.33089e-04   -1.63162e-04
 49   0.2000    5.14824e-01    1.39943e-04    2.71826e-04   +4.99500e-06   +1.39853e-04   +2.33089e-04   -1.39853e-04
 49   0.2500    4.47624e-01    1.16651e-04    2.60601e-04   +4.99500e-06   +1.16544e-04   +2.33089e-04   -1.16544e-04
 49   0.3000    3.71923e-01    9.33693e-05    2.51044e-04   +4.99500e-06   +9.32356e-05   +2.33089e-04   -9.32356e-05
 49   0.3500    2.88080e-01    7.01048e-05    2.43352e-04   +4.99500e-06   +6.99267e-05   +2.33089e-04   -6.99267e-05
 49   0.4000    1.97239e-01    4.68846e-05    2.37705e-04   +4.99500e-06   +4.66178e-05   +2.33089e-04   -4.66178e-05
 49   0.4500    1.01763e-01    2.38381e-05    2.34251e-04   +4.99500e-06   +2.33089e-05   +2.33089e-04   -2.33089e-05
 49   0.5000    2.14296e-02    4.99500e-06    2.33089e-04   +4.99500e-06   -7.62330e-21   +2.33089e-04   -7.19978e-21
 49   0.5500    1.01763e-01    2.38381e-05    2.34251e-04   +4.99500e-06   -2.33089e-05   +2.33089e-04   +2.33089e-05
 49   0.6000    1.97239e-01    4.68846e-05    2.37705e-04   +4.99500e-06   -4.66178e-05   +2.33089e-04   +4.66178e-05
 49   0.6500    2.88080e-01    7.01048e-05    2.43352e-04   +4.99500e-06   -6.99267e-05   +2.33089e-04   +6.99267e-05
 49   0.7000    3.71923e-01    9.33693e-05    2.51044e-04   +4.99500e-06   -9.32356e-05   +2.33089e-04   +9.32356e-05
 49   0.7500    4.47624e-01    1.16651e-04    2.60601e-04   +4.99500e-06   -1.16544e-04   +2.33089e-04   +1.16544e-04
 49   0.8000    5.14824e-01    1.39943e-04    2.71826e-04   +4.99500e-06   -1.39853e-04   +2.33089e-04   +1.39853e-04
 49   0.8500    5.73731e-01    1.63239e-04    2.84521e-04   +4.99500e-06   -1.63162e-04   +2.33089e-04   +1.63162e-04
 49   0.9000    6.24919e-01    1.86538e-04    2.98499e-04   +4.99500e-06   -1.86471e-04   +2.33089e-04   +1.86471e-04
 49   0.9500    6.69154e-01    2.09839e-04    3.13589e-04   +4.99500e-06   -2.09780e-04   +2.33089e-04   +2.09780e-04
 49   1.0000    7.07269e-01    2.33142e-04    3.29637e-04   +4.99500e-06   -2.33089e-04   +2.33089e-04   +2.33089e-04

