# TCRW Fig 3(b) exact: |J_Dr|/|J_om| at left wall vs D_r (ω=1, OBC)
# Generated by tcrw_fig3_exact_dump.py — exact authors-Python data
# columns: L   D_r   ratio   |J_Dr|_wall   |J_om|_wall   Jx_w_Dr  Jy_w_Dr  Jx_w_om  Jy_w_om
 49    1.46780e-02    7.07555e-01    2.03204e-03    2.87192e-03   +7.23127e-05   -2.03075e-03   +2.03075e-03   +2.03075e-03
 49    2.15443e-02    7.07756e-01    2.46052e-03    3.47650e-03   +1.05401e-04   -2.45826e-03   +2.45826e-03   +2.45826e-03
 49    3.16228e-02    7.08127e-01    2.85380e-03    4.03007e-03   +1.53114e-04   -2.84969e-03   +2.84969e-03   +2.84969e-03
 49    4.64159e-02    7.08841e-01    3.16582e-03    4.46619e-03   +2.21307e-04   -3.15807e-03   +3.15807e-03   +3.15807e-03
 49    6.81292e-02    7.10291e-01    3.35614e-03    4.72501e-03   +3.17438e-04   -3.34109e-03   +3.34109e-03   +3.34109e-03
 49    1.00000e-01    7.13407e-01    3.39353e-03    4.75679e-03   +4.50000e-04   -3.36356e-03   +3.36356e-03   +3.36356e-03
 49    1.46780e-01    7.20554e-01    3.25638e-03    4.51927e-03   +6.26178e-04   -3.19561e-03   +3.19561e-03   +3.19561e-03
 49    2.15443e-01    7.38367e-01    2.93562e-03    3.97583e-03   +8.45138e-04   -2.81134e-03   +2.81134e-03   +2.81134e-03
 49    3.16228e-01    7.88156e-01    2.44771e-03    3.10561e-03   +1.08114e-03   -2.19600e-03   +2.19600e-03   +2.19600e-03
 49    4.64159e-01    9.53357e-01    1.85407e-03    1.94478e-03   +1.24358e-03   -1.37517e-03   +1.37517e-03   +1.37517e-03
 49    6.81292e-01    1.70990e+00    1.19240e-03    6.97353e-04   +1.08567e-03   -4.93103e-04   +4.93103e-04   +4.93103e-04
 49    1.00000e+00            nan    0.00000e+00    0.00000e+00   +0.00000e+00   +0.00000e+00   +0.00000e+00   +0.00000e+00

